SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
683051324,00182M00:03:05.842,0182 00:17:51,713.39,,1
683051325,00182M00:03:06.815,0182 00:17:52,713.39,,1
683051326,00182M00:03:07.789,0182 00:17:53,713.41,,1
683051327,00182M00:03:08.762,0182 00:17:54,713.37,,1
683051328,00182M00:03:09.735,0182 00:17:55,713.39,,1
683051329,00182M00:03:10.708,0182 00:17:56,713.37,,1
683051330,00182M00:03:11.682,0182 00:17:57,713.41,,1
683051331,00182M00:03:12.655,0182 00:17:58,713.35,,1
683051332,00182M00:03:13.628,0182 00:17:59,713.41,,1
683051333,00182M00:03:14.601,0182 00:18:00,713.35,,1
683051334,00182M00:03:15.575,0182 00:18:01,713.39,,1
683051335,00182M00:03:16.548,0182 00:18:02,713.37,,1
683051336,00182M00:03:17.521,0182 00:18:03,713.41,,1
683051337,00182M00:03:18.494,0182 00:18:04,713.42,,1
683051338,00182M00:03:19.468,0182 00:18:05,713.39,,1
683051339,00182M00:03:20.441,0182 00:18:06,713.40,,1
683051340,00182M00:03:21.414,0182 00:18:07,713.37,,1
683051341,00182M00:03:22.387,0182 00:18:08,713.31,,1
683051342,00182M00:03:23.361,0182 00:18:09,713.37,,1
683051343,00182M00:03:24.334,0182 00:18:10,713.37,,1
683051344,00182M00:03:25.307,0182 00:18:11,713.42,,1
683051345,00182M00:03:26.280,0182 00:18:12,713.42,,1
683051346,00182M00:03:27.254,0182 00:18:13,713.33,,1
683051347,00182M00:03:28.227,0182 00:18:14,713.33,,1
683051348,00182M00:03:29.200,0182 00:18:15,713.37,,1
683051349,00182M00:03:30.173,0182 00:18:16,713.30,,1
683051350,00182M00:03:31.147,0182 00:18:17,713.40,,1
683051351,00182M00:03:32.120,0182 00:18:18,713.35,,1
683051352,00182M00:03:33.093,0182 00:18:19,713.37,,1
683051353,00182M00:03:34.066,0182 00:18:20,713.39,,1
683051354,00182M00:03:35.040,0182 00:18:21,713.37,,1
683051355,00182M00:03:36.013,0182 00:18:22,713.37,,1
683051356,00182M00:03:36.986,0182 00:18:23,713.35,,1
683051357,00182M00:03:37.959,0182 00:18:24,713.35,,1
683051358,00182M00:03:38.933,0182 00:18:25,713.33,,1
683051359,00182M00:03:39.906,0182 00:18:26,713.40,,1
683051360,00182M00:03:40.879,0182 00:18:27,713.33,,1
683051361,00182M00:03:41.852,0182 00:18:27,713.37,,1
683051362,00182M00:03:42.826,0182 00:18:28,713.40,,1
683051363,00182M00:03:43.799,0182 00:18:29,713.38,,1
683051364,00182M00:03:44.772,0182 00:18:30,713.35,,1
683051365,00182M00:03:45.745,0182 00:18:31,713.35,,1
683051366,00182M00:03:46.719,0182 00:18:32,713.34,,1
683051367,00182M00:03:47.692,0182 00:18:33,713.33,,1
683051368,00182M00:03:48.665,0182 00:18:34,713.36,,1
683051369,00182M00:03:49.638,0182 00:18:35,713.38,,1
683051370,00182M00:03:50.612,0182 00:18:36,713.33,,1
683051371,00182M00:03:51.585,0182 00:18:37,713.33,,1
683051372,00182M00:03:52.558,0182 00:18:38,713.33,,1
683051373,00182M00:03:53.531,0182 00:18:39,713.36,,1
683051374,00182M00:03:54.505,0182 00:18:40,713.27,,1
683051375,00182M00:03:55.478,0182 00:18:41,713.36,,1
683051376,00182M00:03:56.451,0182 00:18:42,713.34,,1
683051377,00182M00:03:57.424,0182 00:18:43,713.33,,1
683051378,00182M00:03:58.398,0182 00:18:44,713.36,,1
683051379,00182M00:03:59.371,0182 00:18:45,713.38,,1
683051380,00182M00:04:00.344,0182 00:18:46,713.36,,1
683051381,00182M00:04:01.317,0182 00:18:47,713.31,,1
683051382,00182M00:04:02.291,0182 00:18:48,713.34,,1
683051383,00182M00:04:03.264,0182 00:18:49,713.34,,1
683051384,00182M00:04:04.237,0182 00:18:50,713.34,,1
683051385,00182M00:04:05.210,0182 00:18:51,713.40,,1
683051386,00182M00:04:06.184,0182 00:18:52,713.31,,1
683051387,00182M00:04:07.157,0182 00:18:53,713.29,,1
683051388,00182M00:04:08.130,0182 00:18:54,713.38,,1
683051389,00182M00:04:09.103,0182 00:18:55,713.36,,1
683051390,00182M00:04:10.077,0182 00:18:56,713.33,,1
683051391,00182M00:04:11.050,0182 00:18:57,713.31,,1
683051392,00182M00:04:12.023,0182 00:18:58,713.30,,1
683051393,00182M00:04:12.996,0182 00:18:59,713.36,,1
683051394,00182M00:04:13.970,0182 00:19:00,713.32,,1
683051395,00182M00:04:14.943,0182 00:19:01,713.29,,1
683051396,00182M00:04:15.916,0182 00:19:02,713.32,,1
683051397,00182M00:04:16.889,0182 00:19:03,713.34,,1
683051398,00182M00:04:17.863,0182 00:19:03,713.34,,1
683051399,00182M00:04:18.836,0182 00:19:04,713.36,,1
683051400,00182M00:04:19.809,0182 00:19:05,713.34,,1
683051401,00182M00:04:20.782,0182 00:19:06,713.32,,1
683051402,00182M00:04:21.756,0182 00:19:07,713.34,,1
683051403,00182M00:04:22.729,0182 00:19:08,713.30,,1
683051404,00182M00:04:23.702,0182 00:19:09,713.34,,1
683051405,00182M00:04:24.675,0182 00:19:10,713.36,,1
683051406,00182M00:04:25.649,0182 00:19:11,713.39,,1
683051407,00182M00:04:26.622,0182 00:19:12,713.32,,1
683051408,00182M00:04:27.595,0182 00:19:13,713.34,,1
683051409,00182M00:04:28.568,0182 00:19:14,713.34,,1
683051410,00182M00:04:29.542,0182 00:19:15,713.32,,1
683051411,00182M00:04:30.515,0182 00:19:16,713.30,,1
683051412,00182M00:04:31.488,0182 00:19:17,713.30,,1
683051413,00182M00:04:32.461,0182 00:19:18,713.32,,1
683051414,00182M00:04:33.435,0182 00:19:19,713.34,,1
683051415,00182M00:04:34.408,0182 00:19:20,713.35,,1
683051416,00182M00:04:35.381,0182 00:19:21,713.32,,1
683051417,00182M00:04:36.354,0182 00:19:22,713.28,,1
683051418,00182M00:04:37.328,0182 00:19:23,713.32,,1
683051419,00182M00:04:38.301,0182 00:19:24,713.32,,1
683051420,00182M00:04:39.274,0182 00:19:25,713.37,,1
683051421,00182M00:04:40.248,0182 00:19:26,713.28,,1
683051422,00182M00:04:41.221,0182 00:19:27,713.32,,1
683051423,00182M00:04:42.194,0182 00:19:28,713.28,,1
683051424,00182M00:04:43.167,0182 00:19:29,713.30,,1
683051425,00182M00:04:44.141,0182 00:19:30,713.32,,1
683051426,00182M00:04:45.114,0182 00:19:31,713.35,,1
683051427,00182M00:04:46.087,0182 00:19:32,713.33,,1
683051428,00182M00:04:47.060,0182 00:19:33,713.35,,1
